Forks,Commits,Open Issues,Contributors,Files,ncloc,complexity,cognitive_complexity,classes,functions,duplicated_lines,duplicated_blocks,comment_lines,file_complexity,comment_lines_density,bugs
0,37,0,5,3,369.0,125.0,1.0,2.0,39.0,0,0,17.0,125.0,4.4,0
0,34,0,1,49,583.0,48.0,1.0,0.0,43.0,0,0,31.0,3.7,5.0,0
0,3,7,2,14,77.0,4.0,0.0,0.0,4.0,0,0,0.0,0.8,0.0,0
0,34,0,2,69,10361.0,63.0,0.0,0.0,51.0,82,2,157.0,2.6,1.5,3
0,29,0,1,13,325.0,96.0,0.0,0.0,34.0,68,2,1.0,13.7,0.3,7
1,65,5,2,51,427.0,25.0,0.0,1.0,22.0,0,0,0.0,1.1,0.0,0
0,36,2,1,43,609.0,120.0,0.0,3.0,82.0,0,0,175.0,5.2,22.3,1
0,384,0,38,272,4689.0,539.0,6.0,0.0,302.0,563,24,139.0,6.0,2.9,5
0,4,0,1,6,52.0,12.0,0.0,1.0,9.0,0,0,0.0,12.0,0.0,0
0,34,0,9,26,643.0,106.0,0.0,1.0,96.0,88,4,41.0,13.3,6.0,0
1,128,0,3,105,1887.0,163.0,1.0,0.0,123.0,42,2,74.0,4.3,3.8,0
0,40,0,7,38,503.0,79.0,7.0,0.0,46.0,0,0,19.0,5.3,3.6,6
0,18,0,1,83,1387.0,156.0,0.0,0.0,82.0,0,0,64.0,5.8,4.4,0
0,21,0,1,105,1806.0,202.0,0.0,0.0,110.0,0,0,109.0,4.7,5.7,0
0,4,0,1,8,744.0,1469.0,0.0,0.0,470.0,0,0,690.0,734.5,48.1,123
0,7,0,1,47,1339.0,50.0,0.0,0.0,42.0,0,0,6.0,4.5,0.4,5
5,189,4,31,140,9218.0,1867.0,4.0,0.0,548.0,414,26,1588.0,30.1,14.7,129
0,25639,0,363,3089,257023.0,34972.0,27.0,0.0,12211.0,61976,5362,13440.0,18.5,5.0,812
0,2,0,1,5,164.0,15.0,0.0,0.0,12.0,0,0,13.0,7.5,7.3,0
0,8,0,2,38,420.0,38.0,0.0,0.0,30.0,0,0,7.0,2.7,1.6,1
0,239,0,27,209,34070.0,1096.0,90.0,0.0,330.0,2000,44,1327.0,13.4,3.7,75
0,92,0,2,78,1634.0,138.0,0.0,0.0,102.0,0,0,39.0,5.3,2.3,1
0,6,0,1,28,690.0,77.0,0.0,0.0,50.0,0,0,72.0,4.3,9.4,0
0,36,2,1,43,609.0,120.0,0.0,3.0,82.0,0,0,175.0,5.2,22.3,1
0,17,0,0,22,472.0,76.0,1.0,4.0,49.0,0,0,44.0,7.6,8.5,1
0,419,0,39,65,2408.0,395.0,0.0,0.0,189.0,26,2,128.0,24.7,5.0,5
1,94,19,1,157,2391.0,123.0,14.0,0.0,84.0,44,2,95.0,3.8,3.8,0
0,84,1,2,53,489.0,75.0,0.0,0.0,36.0,24,2,47.0,3.8,8.8,0
0,39,4,2,36,430.0,50.0,0.0,0.0,33.0,0,0,23.0,4.2,5.1,0
0,59,1,3,74,1734.0,296.0,3.0,0.0,183.0,47,2,59.0,21.1,3.3,3
1,10,0,1,2533,245057.0,23546.0,2916.0,70.0,6276.0,122631,5759,28795.0,47.4,10.5,1711
0,90,0,1,38,1474.0,110.0,0.0,0.0,79.0,0,0,101.0,4.4,6.4,0
0,2,0,1,9,167.0,29.0,1.0,0.0,7.0,0,0,0.0,14.5,0.0,0
0,121,0,2,102,2394.0,157.0,0.0,1.0,109.0,0,0,18.0,4.5,0.7,3
0,104,0,23,39,1642.0,191.0,0.0,8.0,115.0,53,2,20.0,15.9,1.2,0
0,2481,0,56,2024,164470.0,22177.0,12901.0,1504.0,9720.0,16128,980,30096.0,15.9,15.5,5
0,132,0,17,161,2458.0,489.0,0.0,2.0,358.0,0,0,416.0,21.3,14.5,9
0,3,0,1,49,1558.0,90.0,0.0,0.0,52.0,562,9,90.0,4.1,5.5,4
0,51,0,2,4102,177429.0,34254.0,7334.0,151.0,9259.0,69802,1785,39099.0,53.9,18.1,972
0,3,0,1,12,327.0,24.0,0.0,1.0,17.0,0,0,2.0,12.0,0.6,0
0,337,0,3,147,3979.0,637.0,0.0,0.0,238.0,457,9,1193.0,15.9,23.1,1
0,17,0,1,19,325.0,96.0,0.0,0.0,34.0,68,2,1.0,13.7,0.3,7
0,140,0,9,160,2816.0,75.0,1.0,0.0,58.0,0,0,68.0,1.7,2.4,8
0,2,0,1,60,2766.0,530.0,17.0,42.0,182.0,223,14,506.0,15.1,15.5,3
0,34,0,1,17,145.0,25.0,0.0,1.0,18.0,0,0,15.0,5.0,9.4,0
0,4,0,1,21,477.0,52.0,1.0,0.0,21.0,0,0,6.0,4.7,1.2,0
1,166,1,3,65,2683.0,163.0,0.0,0.0,130.0,174,4,120.0,5.8,4.3,1
90,478,30,5,271,6102.0,319.0,0.0,18.0,198.0,515,11,333.0,2.4,5.2,4
0,19,0,1,51,2817.0,278.0,2.0,0.0,89.0,163,4,188.0,25.3,6.3,8
0,54,0,1,60,1215.0,62.0,0.0,0.0,35.0,84,2,1.0,1.9,0.1,2
0,26,1,1,26,436.0,19.0,0.0,0.0,12.0,54,2,1.0,2.7,0.2,0
18,155,4,2,155,4103.0,793.0,8.0,16.0,705.0,103,7,6.0,8.2,0.1,0
0,4,0,0,35,272.0,26.0,2.0,0.0,21.0,0,0,17.0,2.0,5.9,3
0,11,25,3,59,334.0,30.0,3.0,4.0,16.0,0,0,32.0,2.0,8.7,2
0,52,0,4,40,1194.0,168.0,0.0,0.0,61.0,100,6,236.0,24.0,16.5,57
2,15,0,2,2034,18246.0,1982.0,14.0,53.0,1395.0,8007,316,3048.0,3.2,14.3,37
0,57,0,1,43,1112.0,44.0,0.0,0.0,36.0,448,4,23.0,3.4,2.0,0
0,109,0,10,43,808.0,127.0,18.0,0.0,89.0,24,2,93.0,5.8,10.3,3
0,31,0,1,14,240.0,56.0,0.0,1.0,30.0,0,0,29.0,11.2,10.8,0
7,54,5,6,85,54976.0,6208.0,5939.0,104.0,1821.0,12902,1463,18651.0,17.6,25.3,1397
1,62,0,12,65,117.0,23.0,0.0,0.0,12.0,0,0,5.0,23.0,4.1,0
0,76,0,2,40,583.0,83.0,3.0,0.0,54.0,0,0,23.0,5.9,3.8,0
0,17,0,1,34,231.0,20.0,0.0,0.0,15.0,0,0,26.0,2.0,10.1,0
0,15,0,1,7,305.0,25.0,0.0,2.0,18.0,0,0,0.0,12.5,0.0,0
0,45,1,2,45,889.0,251.0,6.0,0.0,173.0,112,6,176.0,13.9,16.5,0
0,3,0,0,16,107.0,11.0,0.0,1.0,10.0,0,0,13.0,1.4,10.8,3
0,21,0,1,72,1281.0,124.0,0.0,0.0,85.0,0,0,87.0,4.4,6.4,2
0,22,6,1,18,379.0,12.0,0.0,0.0,10.0,0,0,63.0,3.0,14.3,1
0,24,0,1,28,163.0,12.0,0.0,0.0,9.0,0,0,29.0,1.7,15.1,0
0,15,0,1,96,1063.0,69.0,0.0,6.0,45.0,0,0,34.0,2.4,3.1,0
