,mean,std,min,max,range
Forks,1.4556962025316456,8.374898129946242,0.0,90.0,90.0
Commits,656.2573839662447,4303.163227178813,1.0,50623.0,50622.0
Open Issues,0.8818565400843882,3.4949673158205754,0.0,30.0,30.0
Contributors,13.675105485232068,54.480986541969706,0.0,392.0,392.0
Files,676.5738396624473,3868.1423463576957,2.0,52080.0,52078.0
ncloc,11120.775330396476,41851.200511932846,5.0,362999.0,362994.0
complexity,1635.4186046511627,6538.562738382527,0.0,47834.0,47834.0
cognitive_complexity,1011.2910798122066,5008.387482915417,0.0,41017.0,41017.0
classes,99.05633802816901,749.1121453060399,0.0,10195.0,10195.0
functions,646.1737089201878,2768.431471794543,0.0,28999.0,28999.0
duplicated_lines,1915.379746835443,10437.172101785996,0.0,122631.0,122631.0
duplicated_blocks,98.9367088607595,566.7174663403487,0.0,5759.0,5759.0
comment_lines,1852.1453744493392,8282.630567394692,0.0,79756.0,79756.0
class_complexity,,,,,
file_complexity,15.567441860465117,54.02380628292032,0.0,734.5,734.5
comment_lines_density,9.470925110132159,10.010562586572068,0.0,56.4,56.4
bugs,45.143459915611814,226.34873650737867,0.0,1916.0,1916.0
