Forks,Commits,Open Issues,Contributors,Files,ncloc,complexity,cognitive_complexity,classes,functions,duplicated_lines,duplicated_blocks,comment_lines,class_complexity,file_complexity,comment_lines_density,bugs
0,2,0,1,5,164,15,0,0,12,0,0,13,None,7.5,7.3,0
0,8,0,2,38,420,38,0,0,30,0,0,7,None,2.7,1.6,1
0,239,0,27,209,34070,1096,90,0,330,2000,44,1327,None,13.4,3.7,75
0,92,0,2,78,1634,138,0,0,102,0,0,39,None,5.3,2.3,1
0,6,0,1,28,690,77,0,0,50,0,0,72,None,4.3,9.4,0
0,36,2,1,43,609,120,0,3,82,0,0,175,None,5.2,22.3,1
0,17,0,0,22,472,76,1,4,49,0,0,44,None,7.6,8.5,1
0,419,0,39,65,2408,395,0,0,189,26,2,128,None,24.7,5,5
1,94,19,1,157,2391,123,14,0,84,44,2,95,None,3.8,3.8,0
0,84,1,2,53,489,75,0,0,36,24,2,47,None,3.8,8.8,0
0,39,4,2,36,430,50,0,0,33,0,0,23,None,4.2,5.1,0
0,59,1,3,74,1734,296,3,0,183,47,2,59,None,21.1,3.3,3
1,10,0,1,2533,245057,23546,2916,70,6276,122631,5759,28795,None,47.4,10.5,1711
0,90,0,1,38,1474,110,0,0,79,0,0,101,None,4.4,6.4,0
0,2,0,1,9,167,29,1,0,7,0,0,0,None,14.5,0,0
0,121,0,2,102,2394,157,0,1,109,0,0,18,None,4.5,0.7,3
0,104,0,23,39,1642,191,0,8,115,53,2,20,None,15.9,1.2,0
0,2481,0,56,2024,164470,22177,12901,1504,9720,16128,980,30096,None,15.9,15.5,5
0,132,0,17,161,2458,489,0,2,358,0,0,416,None,21.3,14.5,9
0,3,0,1,49,1558,90,0,0,52,562,9,90,None,4.1,5.5,4
0,51,0,2,4102,177429,34254,7334,151,9259,69802,1785,39099,None,53.9,18.1,972
0,3,0,1,12,327,24,0,1,17,0,0,2,None,12,0.6,0
0,337,0,3,147,3979,637,0,0,238,457,9,1193,None,15.9,23.1,1
0,17,0,1,19,325,96,0,0,34,68,2,1,None,13.7,0.3,7
0,140,0,9,160,2816,75,1,0,58,0,0,68,None,1.7,2.4,8
0,2,0,1,60,2766,530,17,42,182,223,14,506,None,15.1,15.5,3
0,34,0,1,17,145,25,0,1,18,0,0,15,None,5,9.4,0
0,4,0,1,21,477,52,1,0,21,0,0,6,None,4.7,1.2,0
1,166,1,3,65,2683,163,0,0,130,174,4,120,None,5.8,4.3,1
